Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Cabin_Class,Number_of_Stops,Flight_Layover,Booking_Date,Days_Until_Departure,Is_Holiday_Season,Is_Peak_Season,ATF_Price_INR
Air India,2019-06-01 00:00:00,Delhi,Cochin,DEL → BLR → COK,09:45,23:00,13h 15m,1 stop,No info,8907,First Class,2,2 Stop(s),2019-04-11 00:00:00,51,0,0,60942.875570602
IndiGo,2019-04-18 00:00:00,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4174,First Class,1,1 Stop(s),2019-03-25 00:00:00,24,1,1,61906.7505085807
Air India,2019-06-24 00:00:00,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,First Class,1,1 Stop(s),2019-05-02 00:00:00,53,0,0,86882.7389977048
Jet Airways,2019-05-09 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,First Class,2,2 Stop(s),2019-04-17 00:00:00,22,0,0,72311.4876910689
IndiGo,2019-04-24 00:00:00,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804,First Class,1,1 Stop(s),2019-04-10 00:00:00,14,0,1,63236.7428097991
Air India,2019-03-03 00:00:00,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15 04 Mar,26h 35m,2 stops,No info,14011,Economy,3,3 Stop(s),2019-02-28 00:00:00,3,0,1,61356.8186673161
SpiceJet,2019-04-15 00:00:00,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5830,First Class,2,2 Stop(s),2019-03-17 00:00:00,29,0,1,81870.2150412296
Jet Airways,2019-06-12 00:00:00,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,First Class,2,2 Stop(s),2019-04-16 00:00:00,57,0,0,67478.7668744663
Air India,2019-06-12 00:00:00,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15 13 Jun,23h,2 stops,No info,13381,Economy,3,3 Stop(s),2019-05-12 00:00:00,31,0,0,66663.2343141219
Jet Airways,2019-05-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898,First Class,2,2 Stop(s),2019-05-05 00:00:00,22,0,0,66838.0548762583
GoAir,2019-03-06 00:00:00,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5h 10m,1 stop,No info,19495,Business,2,2 Stop(s),2019-02-07 00:00:00,27,0,1,62930.1634201915
Air India,2019-03-21 00:00:00,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955,Business,2,2 Stop(s),2019-02-05 00:00:00,44,1,1,84251.9204434938
IndiGo,2019-04-03 00:00:00,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,First Class,1,1 Stop(s),2019-02-17 00:00:00,45,0,1,75602.0406353343
IndiGo,2019-05-01 00:00:00,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823,Business,1,1 Stop(s),2019-04-29 00:00:00,2,1,1,86776.7699546993
Jet Airways,2019-05-06 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,Business,2,2 Stop(s),2019-04-19 00:00:00,17,0,0,66863.9449647487
Jet Airways,2019-06-09 00:00:00,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292,Economy,3,3 Stop(s),2019-05-22 00:00:00,18,0,0,67553.4688747609
IndiGo,2019-06-01 00:00:00,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,First Class,2,2 Stop(s),2019-04-14 00:00:00,48,0,0,75257.1207349411
GoAir,2019-05-15 00:00:00,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,7682,Business,2,2 Stop(s),2019-04-12 00:00:00,33,0,0,79092.3123379134
Vistara,2019-06-18 00:00:00,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668,Business,1,1 Stop(s),2019-04-23 00:00:00,56,0,0,87890.9295702772
Vistara,2019-06-15 00:00:00,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,First Class,1,1 Stop(s),2019-05-04 00:00:00,42,0,0,63301.5577358303
Vistara,2019-06-18 00:00:00,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-05-07 00:00:00,42,0,0,84540.4429776748
Air India,2019-05-01 00:00:00,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,13227,Business,3,3 Stop(s),2019-03-22 00:00:00,40,1,1,85893.1027762678
IndiGo,2019-04-06 00:00:00,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,Economy,1,1 Stop(s),2019-02-26 00:00:00,39,1,1,62654.7750615576
Jet Airways,2019-06-15 00:00:00,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,Business,3,3 Stop(s),2019-05-06 00:00:00,40,0,0,72813.2336587877
Jet Airways,2019-05-18 00:00:00,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,Economy,2,2 Stop(s),2019-05-17 00:00:00,1,1,1,75563.718652301
IndiGo,2019-06-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,Economy,2,2 Stop(s),2019-06-04 00:00:00,23,0,0,89569.513623318
SpiceJet,2019-05-21 00:00:00,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,Economy,2,2 Stop(s),2019-03-29 00:00:00,53,0,0,79126.7241406564
Air India,2019-05-18 00:00:00,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245,First Class,1,1 Stop(s),2019-04-26 00:00:00,22,1,1,86143.8177056315
Jet Airways,2019-03-06 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6h 15m,1 stop,No info,19225,Economy,2,2 Stop(s),2019-02-06 00:00:00,28,0,1,69138.4130752011
Jet Airways,2019-06-03 00:00:00,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,14924,Business,2,2 Stop(s),2019-05-16 00:00:00,18,0,0,69696.0879606227
Multiple carriers,2019-05-21 00:00:00,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11h 5m,1 stop,No info,9646,Business,2,2 Stop(s),2019-04-25 00:00:00,26,0,0,79002.1126953127
Air India,2019-03-15 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8h 30m,1 stop,No info,8714,Business,2,2 Stop(s),2019-02-02 00:00:00,41,0,1,61951.5477895584
Jet Airways,2019-05-18 00:00:00,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,Economy,2,2 Stop(s),2019-04-27 00:00:00,21,1,1,84110.1623069734
Air Asia,2019-05-06 00:00:00,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,Economy,1,1 Stop(s),2019-04-12 00:00:00,24,0,0,79092.3123379134
Multiple carriers,2019-03-21 00:00:00,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062,Business,2,2 Stop(s),2019-02-20 00:00:00,29,1,1,89087.5388329368
SpiceJet,2019-03-24 00:00:00,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527,First Class,1,1 Stop(s),2019-02-16 00:00:00,36,0,1,69351.3322826823
IndiGo,2019-05-27 00:00:00,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943,Business,1,1 Stop(s),2019-05-10 00:00:00,17,0,0,75322.419077327
Air India,2019-05-03 00:00:00,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667,Business,1,1 Stop(s),2019-04-28 00:00:00,5,0,0,65597.1017665811
Air India,2019-05-15 00:00:00,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117,Business,2,2 Stop(s),2019-03-29 00:00:00,47,0,0,79126.7241406564
Jet Airways,2019-06-27 00:00:00,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,Economy,3,3 Stop(s),2019-05-29 00:00:00,29,0,0,61544.3625374997
Jet Airways,2019-03-09 00:00:00,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,Economy,1,1 Stop(s),2019-02-13 00:00:00,24,0,1,87279.6120623635
Jet Airways,2019-05-01 00:00:00,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,Business,2,2 Stop(s),2019-03-30 00:00:00,32,1,1,86616.3822772898
IndiGo,2019-03-24 00:00:00,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377,Business,1,1 Stop(s),2019-02-08 00:00:00,44,0,1,80526.9907953647
IndiGo,2019-06-18 00:00:00,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943,Economy,1,1 Stop(s),2019-05-21 00:00:00,28,0,0,88873.4188482633
Air Asia,2019-04-03 00:00:00,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483,Economy,1,1 Stop(s),2019-03-05 00:00:00,29,0,1,70702.5998008077
Jet Airways,2019-03-24 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231,Business,2,2 Stop(s),2019-02-13 00:00:00,39,0,1,87279.6120623635
Air India,2019-03-01 00:00:00,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345,First Class,3,3 Stop(s),2019-01-28 00:00:00,32,1,1,75427.0331524083
Vistara,2019-03-06 00:00:00,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414,First Class,1,1 Stop(s),2019-01-08 00:00:00,57,0,1,85985.2843732481
Multiple carriers,2019-05-06 00:00:00,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,Economy,2,2 Stop(s),2019-05-01 00:00:00,5,0,0,84223.2046549219
Vistara,2019-03-06 00:00:00,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395,Business,2,2 Stop(s),2019-03-03 00:00:00,3,0,1,68140.4709532169
Air India,2019-06-06 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12h 25m,1 stop,No info,8366,Business,2,2 Stop(s),2019-05-02 00:00:00,35,0,0,86882.7389977048
Air India,2019-04-03 00:00:00,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117,Economy,2,2 Stop(s),2019-03-20 00:00:00,14,0,1,70753.9718563282
Multiple carriers,2019-06-03 00:00:00,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,Business,2,2 Stop(s),2019-05-17 00:00:00,17,0,0,75563.718652301
IndiGo,2019-05-15 00:00:00,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191,Economy,2,2 Stop(s),2019-04-17 00:00:00,28,0,0,72311.4876910689
Vistara,2019-05-24 00:00:00,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687,Economy,1,1 Stop(s),2019-05-04 00:00:00,20,0,0,63301.5577358303
IndiGo,2019-06-24 00:00:00,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894,Business,2,2 Stop(s),2019-05-15 00:00:00,40,0,0,88287.2911173756
Vistara,2019-04-24 00:00:00,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403,Business,1,1 Stop(s),2019-02-25 00:00:00,58,0,1,87656.2270506935
Air India,2019-05-06 00:00:00,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625,Economy,1,1 Stop(s),2019-03-10 00:00:00,57,0,0,62236.5193103931
Air India,2019-05-21 00:00:00,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861,First Class,3,3 Stop(s),2019-04-14 00:00:00,37,0,0,75257.1207349411
IndiGo,2019-03-12 00:00:00,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297,Business,1,1 Stop(s),2019-03-06 00:00:00,6,0,1,68428.0352906214
Jet Airways,2019-06-01 00:00:00,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678,Business,1,1 Stop(s),2019-04-05 00:00:00,57,0,0,83129.0153986368
Jet Airways,2019-03-09 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,Economy,2,2 Stop(s),2019-02-10 00:00:00,27,0,1,63661.1470453434
Multiple carriers,2019-06-24 00:00:00,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,Business,2,2 Stop(s),2019-06-23 00:00:00,1,0,0,66794.8732559382
Jet Airways,2019-06-24 00:00:00,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819,Business,3,3 Stop(s),2019-05-11 00:00:00,44,0,0,72522.3300944634
IndiGo,2019-03-21 00:00:00,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,6893,Business,2,2 Stop(s),2019-01-27 00:00:00,53,1,1,65990.2134647508
Vistara,2019-03-09 00:00:00,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240,Economy,1,1 Stop(s),2019-01-12 00:00:00,56,0,1,89097.2955648598
GoAir,2019-04-03 00:00:00,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,First Class,1,1 Stop(s),2019-03-29 00:00:00,5,0,1,79126.7241406564
IndiGo,2019-04-03 00:00:00,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049,Business,1,1 Stop(s),2019-02-21 00:00:00,41,0,1,83253.9847008334
Jet Airways,2019-06-15 00:00:00,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,Business,2,2 Stop(s),2019-05-07 00:00:00,39,0,0,84540.4429776748
SpiceJet,2019-03-21 00:00:00,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,Economy,1,1 Stop(s),2019-02-06 00:00:00,43,1,1,69138.4130752011
Jet Airways,2019-06-09 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,Business,2,2 Stop(s),2019-05-01 00:00:00,39,0,0,84223.2046549219
Jet Airways,2019-03-24 00:00:00,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229,Business,1,1 Stop(s),2019-03-19 00:00:00,5,0,1,62221.3395520227
Jet Airways,2019-05-06 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941,First Class,2,2 Stop(s),2019-04-29 00:00:00,7,0,0,86776.7699546993
IndiGo,2019-06-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894,First Class,2,2 Stop(s),2019-06-04 00:00:00,23,0,0,89569.513623318
Multiple carriers,2019-05-18 00:00:00,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197,Business,2,2 Stop(s),2019-04-28 00:00:00,20,1,1,65597.1017665811
Jet Airways,2019-03-06 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712,Economy,2,2 Stop(s),2019-01-26 00:00:00,39,0,1,83555.2788417904
IndiGo,2019-06-24 00:00:00,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636,First Class,2,2 Stop(s),2019-05-09 00:00:00,46,0,0,60208.5639159357
Jet Airways,2019-06-06 00:00:00,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014,First Class,3,3 Stop(s),2019-05-10 00:00:00,27,0,0,75322.419077327
Jet Airways,2019-04-01 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,First Class,2,2 Stop(s),2019-02-28 00:00:00,32,0,1,61356.8186673161
Jet Airways,2019-05-24 00:00:00,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,Business,2,2 Stop(s),2019-04-28 00:00:00,26,0,0,65597.1017665811
Multiple carriers,2019-05-27 00:00:00,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646,Business,2,2 Stop(s),2019-04-19 00:00:00,38,0,0,66863.9449647487
Multiple carriers,2019-03-06 00:00:00,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,17057,Business,2,2 Stop(s),2019-02-01 00:00:00,33,0,1,65115.7237106188
Jet Airways,2019-03-12 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817,First Class,2,2 Stop(s),2019-02-21 00:00:00,19,0,1,83253.9847008334
Air India,2019-03-06 00:00:00,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748,Economy,3,3 Stop(s),2019-01-25 00:00:00,40,0,1,73682.0995265111
Air India,2019-04-21 00:00:00,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880,Economy,1,1 Stop(s),2019-03-20 00:00:00,32,1,1,70753.9718563282
IndiGo,2019-06-21 00:00:00,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,Business,1,1 Stop(s),2019-06-19 00:00:00,2,1,1,77726.7882956473
SpiceJet,2019-05-15 00:00:00,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257,Business,1,1 Stop(s),2019-04-26 00:00:00,19,0,0,86143.8177056315
Jet Airways,2019-06-03 00:00:00,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,First Class,1,1 Stop(s),2019-05-27 00:00:00,7,0,0,78286.9300193969
Jet Airways,2019-06-18 00:00:00,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040,Business,1,1 Stop(s),2019-05-09 00:00:00,40,0,0,60208.5639159357
Jet Airways,2019-06-12 00:00:00,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300,Economy,3,3 Stop(s),2019-05-20 00:00:00,23,0,0,89153.4624816288
Jet Airways,2019-05-15 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781,First Class,2,2 Stop(s),2019-05-10 00:00:00,5,0,0,75322.419077327
Jet Airways,2019-06-09 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,14939,Business,2,2 Stop(s),2019-05-13 00:00:00,27,0,0,63595.9610200105
Jet Airways,2019-06-24 00:00:00,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,First Class,2,2 Stop(s),2019-06-19 00:00:00,5,0,0,77726.7882956473
Air India,2019-05-12 00:00:00,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1 stop,No info,6528,Economy,2,2 Stop(s),2019-04-12 00:00:00,30,1,1,79092.3123379134
Air India,2019-05-01 00:00:00,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121,Economy,1,1 Stop(s),2019-04-21 00:00:00,10,1,1,68692.543587413
Jet Airways,2019-05-18 00:00:00,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029,Business,3,3 Stop(s),2019-04-15 00:00:00,33,1,1,87226.9942177828
Multiple carriers,2019-03-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421,First Class,2,2 Stop(s),2019-02-10 00:00:00,45,0,1,63661.1470453434
Multiple carriers,2019-03-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574,Business,2,2 Stop(s),2019-01-31 00:00:00,55,0,1,78226.3455570432
Air India,2019-05-09 00:00:00,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,Economy,3,3 Stop(s),2019-04-12 00:00:00,27,0,0,79092.3123379134
Jet Airways,2019-05-24 00:00:00,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129,First Class,3,3 Stop(s),2019-05-15 00:00:00,9,0,0,88287.2911173756
Jet Airways,2019-03-18 00:00:00,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555,Business,2,2 Stop(s),2019-01-24 00:00:00,53,0,1,70990.8552988108
IndiGo,2019-04-12 00:00:00,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,5780,Economy,1,1 Stop(s),2019-03-12 00:00:00,31,0,1,83167.3430788997
Vistara,2019-05-12 00:00:00,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397,Economy,2,2 Stop(s),2019-04-14 00:00:00,28,1,1,75257.1207349411
Jet Airways,2019-03-06 00:00:00,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024,Economy,2,2 Stop(s),2019-02-26 00:00:00,8,0,1,62654.7750615576
GoAir,2019-06-27 00:00:00,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1 stop,No info,5281,Business,2,2 Stop(s),2019-06-04 00:00:00,23,0,0,89569.513623318
Multiple carriers,2019-05-18 00:00:00,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348,Business,2,2 Stop(s),2019-03-29 00:00:00,50,1,1,79126.7241406564
Air India,2019-03-06 00:00:00,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677,Business,2,2 Stop(s),2019-01-31 00:00:00,34,0,1,78226.3455570432
Multiple carriers,2019-03-03 00:00:00,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147,First Class,2,2 Stop(s),2019-01-11 00:00:00,51,0,1,60617.5348288741
Vistara,2019-06-12 00:00:00,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668,First Class,1,1 Stop(s),2019-06-06 00:00:00,6,0,0,80164.0664221764
Jet Airways,2019-05-09 00:00:00,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554,First Class,2,2 Stop(s),2019-04-21 00:00:00,18,0,0,68692.543587413
SpiceJet,2019-04-09 00:00:00,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971,Business,1,1 Stop(s),2019-02-24 00:00:00,44,0,1,77936.9993643326
Air India,2019-05-03 00:00:00,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100,Economy,1,1 Stop(s),2019-03-19 00:00:00,45,0,0,62221.3395520227
Jet Airways,2019-05-06 00:00:00,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,Economy,2,2 Stop(s),2019-03-19 00:00:00,48,0,0,62221.3395520227
Air India,2019-03-01 00:00:00,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430,Economy,2,2 Stop(s),2019-02-21 00:00:00,8,1,1,83253.9847008334
IndiGo,2019-05-12 00:00:00,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540,Economy,1,1 Stop(s),2019-03-18 00:00:00,55,1,1,83138.1104005784
